600015,hxyh,20.28,已进入下跌周期末端，可适当参与
000002,万科A,20.57,已进入下跌周期末端，可适当参与
000004,国农科技,20.01,已进入下跌周期末端，可适当参与
000005,世纪星源,20.71,已进入下跌周期末端，可适当参与
000006,深振业A,25.35,已进入上涨周期末端，注意风险
000007,全新好,20.23,已进入下跌周期末端，可适当参与
000008,神州高铁,78.81,刚进入上涨周期，可参与
000009,中国宝安,65.55,刚进入上涨周期，可参与
000010,*ST美丽,20.0,已进入上涨周期末端，注意风险
000011,深物业A,27.31,已进入上涨周期末端，注意风险
000012,南玻A,21.39,已进入下跌周期末端，可适当参与
000014,沙河股份,93.23,上涨趋势确立，可重点参与
000016,深康佳A,20.85,已进入下跌周期末端，可适当参与
000017,深中华A,23.1,刚进入下跌周期，风险较大
000019,深粮控股,20.0,已进入上涨周期末端，注意风险
000020,深华发A,22.51,已进入下跌周期末端，可适当参与
000021,深科技,25.54,已进入下跌周期末端，可适当参与
000023,深天地A,21.64,已进入下跌周期末端，可适当参与
000025,特力A,20.36,已进入下跌周期末端，可适当参与
000026,飞亚达,20.87,已进入下跌周期末端，可适当参与
000027,深圳能源,25.41,已进入下跌周期末端，可适当参与
000028,国药一致,20.04,已进入下跌周期末端，可适当参与
000029,深深房A,20.09,已进入下跌周期末端，可适当参与
000030,富奥股份,20.18,已进入下跌周期末端，可适当参与
000031,大悦城,21.27,已进入下跌周期末端，可适当参与
000032,深桑达A,93.92,上涨趋势确立，可重点参与
000034,神州数码,26.49,已进入下跌周期末端，可适当参与
000035,中国天楹,54.47,已进入上涨周期末端，注意风险
000036,华联控股,27.28,已进入上涨周期末端，注意风险
000037,深南电A,28.46,已进入下跌周期末端，可适当参与
000038,深大通,77.54,上涨趋势确立，可重点参与
000039,中集集团,20.06,已进入下跌周期末端，可适当参与
000040,东旭蓝天,20.49,已进入下跌周期末端，可适当参与
000042,中洲控股,87.67,上涨趋势确立，可重点参与
000045,深纺织A,23.07,已进入下跌周期末端，可适当参与
000046,泛海控股,20.21,已进入下跌周期末端，可适当参与
000048,京基智农,20.0,已进入上涨周期末端，注意风险
000049,德赛电池,91.18,上涨趋势确立，可重点参与
000050,深天马A,20.06,已进入下跌周期末端，可适当参与
000055,方大集团,69.6,上涨趋势确立，可重点参与
000056,皇庭国际,20.55,已进入下跌周期末端，可适当参与
000058,深赛格,20.0,已进入下跌周期末端，可适当参与
000059,华锦股份,23.12,刚进入下跌周期，风险较大
000060,中金岭南,20.05,已进入下跌周期末端，可适当参与
000061,农产品,20.0,已进入上涨周期末端，注意风险
