1,1
2,2
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
14,14
16,16
17,17
19,19
20,20
21,21
23,23
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
34,34
35,35
36,36
37,37
38,38
39,39
40,40
42,42
45,45
46,46
48,48
49,49
50,50
55,55
56,56
58,58
59,59
60,60
61,61
62,62
63,63
65,65
66,66
68,68
69,69
70,70
78,78
88,88
89,89
90,90
96,96
99,99
100,100
150,150
151,151
153,153
155,155
156,156
157,157
158,158
159,159
166,166
301,301
333,333
338,338
400,400
401,401
402,402
403,403
404,404
407,407
408,408
409,409
410,410
411,411
413,413
415,415
416,416
417,417
419,419
420,420
421,421
422,422
423,423
425,425
426,426
428,428
429,429
430,430
488,488
498,498
501,501
502,502
503,503
504,504
505,505
506,506
507,507
509,509
510,510
513,513
514,514
516,516
517,517
518,518
519,519
520,520
521,521
523,523
524,524
525,525
526,526
528,528
529,529
530,530
531,531
532,532
533,533
534,534
536,536
537,537
538,538
539,539
540,540
541,541
543,543
544,544
545,545
546,546
547,547
548,548
550,550
551,551
552,552
553,553
554,554
555,555
557,557
558,558
559,559
560,560
561,561
563,563
564,564
565,565
566,566
567,567
568,568
570,570
571,571
572,572
573,573
576,576
581,581
582,582
584,584
585,585
586,586
587,587
589,589
590,590
591,591
592,592
593,593
595,595
596,596
597,597
598,598
599,599
600,600
601,601
603,603
605,605
606,606
607,607
608,608
609,609
610,610
611,611
612,612
613,613
615,615
616,616
617,617
619,619
620,620
622,622
623,623
625,625
626,626
627,627
628,628
629,629
630,630
631,631
632,632
633,633
635,635
636,636
637,637
638,638
639,639
650,650
651,651
652,652
655,655
656,656
657,657
659,659
661,661
662,662
663,663
665,665
666,666
667,667
668,668
669,669
670,670
671,671
672,672
673,673
676,676
677,677
678,678
679,679
680,680
681,681
682,682
683,683
685,685
686,686
687,687
688,688
690,690
691,691
692,692
695,695
697,697
698,698
700,700
701,701
702,702
703,703
705,705
707,707
708,708
709,709
710,710
711,711
712,712
713,713
715,715
716,716
717,717
718,718
719,719
720,720
721,721
722,722
723,723
725,725
726,726
727,727
728,728
729,729
731,731
732,732
733,733
735,735
736,736
737,737
738,738
739,739
750,750
751,751
752,752
753,753
755,755
756,756
757,757
758,758
759,759
760,760
761,761
762,762
766,766
767,767
768,768
776,776
777,777
778,778
779,779
780,780
782,782
783,783
785,785
786,786
788,788
789,789
790,790
791,791
792,792
793,793
795,795
796,796
797,797
798,798
799,799
800,800
801,801
802,802
803,803
806,806
807,807
809,809
810,810
811,811
812,812
813,813
815,815
816,816
818,818
819,819
820,820
821,821
822,822
823,823
825,825
826,826
828,828
829,829
830,830
831,831
833,833
835,835
836,836
837,837
838,838
839,839
848,848
850,850
851,851
852,852
856,856
858,858
859,859
860,860
861,861
862,862
863,863
868,868
869,869
875,875
876,876
877,877
878,878
880,880
881,881
882,882
883,883
885,885
886,886
887,887
888,888
889,889
890,890
892,892
893,893
895,895
897,897
898,898
899,899
900,900
901,901
902,902
903,903
905,905
906,906
908,908
909,909
910,910
911,911
912,912
913,913
915,915
917,917
918,918
919,919
920,920
921,921
922,922
923,923
925,925
926,926
927,927
928,928
929,929
930,930
931,931
932,932
933,933
935,935
936,936
937,937
938,938
948,948
949,949
950,950
951,951
952,952
953,953
955,955
957,957
958,958
959,959
960,960
961,961
962,962
963,963
965,965
966,966
967,967
968,968
969,969
970,970
971,971
972,972
973,973
975,975
976,976
977,977
978,978
980,980
981,981
982,982
983,983
985,985
987,987
988,988
989,989
990,990
993,993
996,996
997,997
998,998
999,999
1696,1696
1872,1872
1896,1896
1914,1914
1965,1965
1979,1979
2001,2001
2002,2002
2003,2003
2004,2004
2005,2005
2006,2006
2007,2007
2008,2008
2009,2009
2010,2010
2011,2011
2012,2012
2013,2013
2014,2014
2015,2015
2016,2016
2017,2017
2019,2019
2020,2020
2021,2021
2022,2022
2023,2023
2024,2024
2025,2025
2026,2026
2027,2027
2028,2028
2029,2029
2030,2030
2031,2031
2032,2032
2033,2033
2034,2034
2035,2035
2036,2036
2037,2037
2038,2038
2039,2039
2040,2040
2041,2041
2042,2042
2043,2043
2044,2044
2045,2045
2046,2046
2047,2047
2048,2048
2049,2049
2050,2050
2051,2051
2052,2052
2053,2053
2054,2054
2055,2055
2056,2056
2057,2057
2058,2058
2059,2059
2060,2060
2061,2061
2062,2062
2063,2063
2064,2064
2065,2065
2066,2066
2067,2067
2068,2068
2069,2069
2071,2071
2072,2072
